species,year,source,SumOftotal
SLGR,1985,COM,7
SLGR,1986,COM,1
SLGR,2007,COM,1
SLGR,2009,COM,1
SLGR,2016,COM,4
SLNS,2012,COM,8
SLNS,2016,COM,8
SLNS,2017,COM,6
SNOS,1977,COM,359
SNOS,1978,COM,243
SNOS,1979,COM,237
SNOS,1980,COM,184
SNOS,1981,COM,364
SNOS,1982,COM,368
SNOS,1983,COM,2061
SNOS,1984,COM,3574
SNOS,1985,COM,3204
SNOS,1986,COM,335
SNOS,1987,COM,3
SNOS,1988,COM,4
SNOS,1998,COM,145
SNOS,2000,COM,38
SNOS,2001,COM,37
SNOS,2002,COM,191
SNOS,2003,COM,407
SNOS,2004,COM,331
SNOS,2005,COM,339
SNOS,2006,COM,404
SNOS,2007,COM,262
SNOS,2008,COM,318
SNOS,2009,COM,106
SNOS,2010,COM,33
SNOS,2011,COM,48
SNOS,2012,COM,93
SNOS,2013,COM,203
SNOS,2014,COM,21
SNOS,2015,COM,153
SNOS,2016,COM,70
SNOS,2017,COM,93
SPKL,1981,COM,12
SPKL,1982,COM,7
SPKL,1983,COM,33
SPKL,1984,COM,16
SPKL,1985,COM,98
SPKL,1986,COM,46
SPKL,1987,COM,2
SPKL,1991,COM,12
SPKL,1992,COM,4
SPKL,1993,COM,2
SPKL,2004,COM,1
SPKL,2006,COM,1
SPKL,2015,COM,1
SQRS,1983,COM,1
SQRS,1985,COM,1
SQRS,1986,COM,5
SRKR,1983,COM,1
SRKR,2003,COM,2
SRKR,2008,COM,2
SRKR,2009,COM,1
SRKR,2012,COM,1
SRKR,2015,COM,3
SRKR,2016,COM,4
SRKR,2017,COM,4
SSOL,2005,COM,5
SSOL,2007,COM,1
SSOL,2008,COM,44
SSPN,1977,COM,751
SSPN,1978,COM,1207
SSPN,1979,COM,441
SSPN,1980,COM,504
SSPN,1981,COM,59
SSPN,1982,COM,655
SSPN,1983,COM,1074
SSPN,1984,COM,2658
SSPN,1985,COM,3218
SSPN,1986,COM,243
SSPN,1988,COM,3
SSPN,1990,COM,34
SSPN,1995,COM,70
SSPN,2003,COM,11
SSPN,2011,COM,1
SSPN,2012,COM,120
STAR,1980,COM,8
STAR,1981,COM,3
STAR,1984,COM,10
STAR,1985,COM,46
STAR,1986,COM,11
STAR,2016,COM,3
STAR,2019,COM,2
STRK,1977,COM,130
STRK,1978,COM,137
STRK,1979,COM,48
STRK,1980,COM,41
STRK,1981,COM,12
STRK,1982,COM,142
STRK,1983,COM,247
STRK,1984,COM,294
STRK,1985,COM,339
STRK,1986,COM,9
STRK,1987,COM,1
STRK,2001,COM,29
STRK,2002,COM,3
STRK,2004,COM,10
STRK,2005,COM,9
STRK,2006,COM,7
STRK,2009,COM,13
STRK,2011,COM,1
STRK,2012,COM,13
STRK,2013,COM,17
STRK,2015,COM,5
STRK,2016,COM,20
STRY,2005,COM,10
STRY,2008,COM,60
SWSP,1982,COM,1
THDS,1977,COM,250
THDS,1980,COM,708
THDS,1981,COM,924
THDS,1984,COM,99
THDS,1991,COM,643
THDS,1992,COM,660
TIGR,1981,COM,1
TREE,2021,COM,9
UFLT,2003,COM,3
UFLT,2004,COM,2
VRML,1975,COM,428
VRML,1976,COM,553
VRML,1977,COM,230
VRML,1978,COM,17
VRML,1979,COM,20
VRML,1980,COM,15
VRML,1981,COM,13
VRML,1982,COM,53
VRML,1983,COM,119
VRML,1984,COM,129
VRML,1985,COM,66
VRML,1986,COM,19
VRML,2001,COM,21
VRML,2002,COM,1
VRML,2003,COM,9
VRML,2004,COM,2
VRML,2005,COM,1
VRML,2006,COM,8
VRML,2008,COM,2
VRML,2009,COM,5
VRML,2010,COM,4
VRML,2012,COM,6
VRML,2013,COM,2
VRML,2014,COM,3
VRML,2015,COM,54
VRML,2016,COM,41
VRML,2017,COM,14
VRML,2021,COM,7
VRML,2019,COM,336
WDOW,1977,COM,77
WDOW,1978,COM,292
WDOW,1979,COM,369
WDOW,1980,COM,751
WDOW,1981,COM,1622
WDOW,1982,COM,2931
WDOW,1983,COM,3047
WDOW,1984,COM,3302
WDOW,1985,COM,2409
WDOW,1986,COM,3032
WDOW,1987,COM,2253
WDOW,1988,COM,2232
WDOW,1989,COM,2579
WDOW,1990,COM,3186
WDOW,1991,COM,2218
WDOW,1992,COM,1513
WDOW,1993,COM,1548
WDOW,1994,COM,1146
WDOW,1995,COM,1534
WDOW,1996,COM,1203
WDOW,1997,COM,2242
WDOW,1998,COM,500
WDOW,1999,COM,1372
WDOW,2000,COM,571
WDOW,2001,COM,182
WDOW,2002,COM,333
WDOW,2003,COM,80
WDOW,2004,COM,19
WDOW,2005,COM,30
WDOW,2006,COM,145
WDOW,2007,COM,83
WDOW,2008,COM,356
WDOW,2009,COM,409
WDOW,2010,COM,190
WDOW,2011,COM,5
WDOW,2012,COM,96
WDOW,2013,COM,93
WDOW,2014,COM,78
WDOW,2015,COM,132
WDOW,2016,COM,35
WDOW,2017,COM,326
WDOW,2018,COM,115
YEYE,1977,COM,2
YEYE,1978,COM,8
YEYE,1979,COM,1
YEYE,1980,COM,17
YEYE,1981,COM,11
YEYE,1982,COM,10
YEYE,1983,COM,12
YEYE,1984,COM,20
YEYE,1985,COM,34
YEYE,1986,COM,4
YEYE,1999,COM,1
YEYE,2001,COM,2
YEYE,2002,COM,2
YEYE,2003,COM,1
YEYE,2004,COM,7
YEYE,2013,COM,3
YEYE,2015,COM,1
YEYE,2017,COM,1
YMTH,1983,COM,6
YMTH,1984,COM,6
YMTH,1985,COM,12
YTRK,1973,COM,89
YTRK,1977,COM,80
YTRK,1978,COM,135
YTRK,1979,COM,25
YTRK,1980,COM,103
YTRK,1981,COM,194
YTRK,1982,COM,262
